Node,Type,Average Depth Feet,Maximum Depth Feet,Maximum HGL Feet,Time of Max Occurence days,hr:min, Reported Max Depth Feet
1,JUNCTION,0.00,0.00,10.01,0,00:00,0.00
2,JUNCTION,0.00,0.00,8.99,0,00:00,0.00
3,JUNCTION,3.15,3.15,-0.07,7,19:21,3.15
4,JUNCTION,1.49,1.49,-0.07,7,17:26,1.49
5,JUNCTION,0.00,0.00,8.59,7,14:00,0.00
6,JUNCTION,4.59,4.77,6.44,7,23:48,4.71
7,JUNCTION,8.52,8.70,6.44,7,23:38,8.68
8,JUNCTION,54.25,54.53,6.54,7,20:13,54.44
9,JUNCTION,54.22,54.51,6.55,7,20:13,54.41
10,JUNCTION,82.13,82.44,6.57,7,23:37,82.30
11,JUNCTION,92.08,92.51,6.70,7,22:57,92.33
12,JUNCTION,24.70,25.22,6.79,7,16:50,25.03
13,JUNCTION,18.07,18.62,6.82,7,16:50,18.40
14,JUNCTION,17.97,18.51,6.82,7,16:50,18.29
15,JUNCTION,30.76,31.19,6.71,7,23:37,31.04
16,JUNCTION,14.20,14.62,6.70,7,16:36,14.40
19,JUNCTION,25.27,25.42,6.62,7,18:25,25.32
20,JUNCTION,30.27,30.39,6.59,7,16:49,30.34
21,JUNCTION,27.47,27.59,6.59,7,16:49,27.54
22,JUNCTION,18.97,19.06,6.56,7,16:14,19.03
23,JUNCTION,11.67,11.72,6.52,7,16:13,11.71
24,JUNCTION,0.00,0.02,6.52,7,16:15,0.02
25,JUNCTION,0.03,0.15,6.45,7,23:40,0.11
26,JUNCTION,17.86,18.03,6.43,7,23:48,17.98
27,JUNCTION,18.16,18.27,6.37,7,23:48,18.24
28,JUNCTION,14.26,14.35,6.35,7,23:50,14.32
29,JUNCTION,14.26,14.34,6.34,7,23:51,14.33
30,JUNCTION,27.96,28.05,6.35,7,23:53,28.04
31,JUNCTION,28.06,28.16,6.36,7,23:53,28.15
32,JUNCTION,53.86,53.99,6.39,7,23:51,53.94
33,JUNCTION,50.76,50.89,6.39,7,23:52,50.88
34,JUNCTION,17.96,18.08,6.38,7,23:53,18.07
35,JUNCTION,0.00,0.00,21.17,0,00:00,0.00
36,JUNCTION,1.15,1.17,6.47,7,16:16,1.16
37,JUNCTION,1.05,1.06,6.46,7,20:54,1.06
38,JUNCTION,19.45,19.47,6.47,7,20:22,19.46
39,JUNCTION,19.75,19.82,6.52,7,19:08,19.79
40,JUNCTION,40.65,40.77,6.57,7,14:59,40.71
41,JUNCTION,40.65,40.73,6.53,7,18:08,40.68
42,JUNCTION,67.95,68.02,6.52,7,14:35,67.99
43,JUNCTION,71.34,71.43,6.53,7,23:27,71.38
44,JUNCTION,32.64,32.68,6.48,7,21:42,32.66
45,JUNCTION,32.64,32.68,6.48,7,21:43,32.66
46,JUNCTION,22.85,22.93,6.53,7,20:40,22.88
47,JUNCTION,22.95,23.07,6.57,7,22:20,23.00
48,JUNCTION,34.25,34.37,6.57,7,22:20,34.28
49,JUNCTION,20.75,20.87,6.57,7,22:20,20.79
50,JUNCTION,20.75,20.87,6.57,7,22:20,20.78
51,JUNCTION,16.95,17.01,6.51,7,18:12,16.98
52,JUNCTION,3.45,3.49,6.49,7,15:57,3.48
53,JUNCTION,0.00,0.00,-22.10,0,00:00,0.00
54,JUNCTION,0.00,0.00,-0.90,0,00:00,0.00
55,JUNCTION,0.00,0.00,0.00,0,00:00,0.00
56,JUNCTION,0.00,0.00,-13.70,0,00:00,0.00
57,JUNCTION,0.00,0.00,-13.20,0,00:00,0.00
58,JUNCTION,0.00,0.00,-20.50,0,00:00,0.00
59,JUNCTION,0.00,0.00,-20.60,0,00:00,0.00
60,JUNCTION,0.00,0.00,7.19,0,00:00,0.00
61,JUNCTION,0.00,0.00,12.80,0,00:00,0.00
62,JUNCTION,0.00,0.00,15.00,0,00:00,0.00
63,JUNCTION,0.00,0.00,22.00,0,00:00,0.00
64,JUNCTION,0.00,0.00,18.00,0,00:00,0.00
65,JUNCTION,0.00,0.00,11.00,7,14:00,0.00
66,JUNCTION,9.26,9.34,6.34,7,23:33,9.33
67,JUNCTION,11.96,12.04,6.34,7,23:51,12.03
70,JUNCTION,32.26,32.37,6.37,7,23:52,32.35
71,JUNCTION,17.45,17.56,6.37,7,23:44,17.55
72,JUNCTION,0.00,0.00,-16.30,0,00:00,0.00
73,JUNCTION,0.00,0.00,-17.00,0,00:00,0.00
74,JUNCTION,0.00,0.00,-5.00,0,00:00,0.00
75,JUNCTION,0.00,0.00,-11.90,0,00:00,0.00
76,JUNCTION,0.00,0.00,-3.00,0,00:00,0.00
77,JUNCTION,0.00,0.00,-6.25,0,00:00,0.00
78,JUNCTION,0.00,0.00,-19.70,0,00:00,0.00
79,JUNCTION,0.00,0.00,-19.70,0,00:00,0.00
80,JUNCTION,0.00,0.00,-12.60,0,00:00,0.00
81,JUNCTION,0.00,0.00,-12.60,0,00:00,0.00
82,JUNCTION,0.00,0.00,-5.00,0,00:00,0.00
83,JUNCTION,22.55,22.63,6.53,7,19:07,22.57
84,JUNCTION,22.55,22.62,6.52,7,20:53,22.58
85,JUNCTION,50.15,50.22,6.52,7,20:53,50.19
86,JUNCTION,57.75,57.82,6.52,7,19:39,57.77
87,JUNCTION,46.45,46.48,6.48,7,19:05,46.46
88,JUNCTION,43.45,43.47,6.47,7,20:24,43.46
89,JUNCTION,43.45,43.51,6.51,7,19:27,43.48
90,JUNCTION,29.44,29.52,6.52,7,20:33,29.47
91,JUNCTION,11.25,11.28,6.48,7,20:33,11.27
92,JUNCTION,7.24,7.27,6.47,7,20:33,7.26
18,JUNCTION,0.00,0.00,-16.30,0,00:00,0.00
100,JUNCTION,0.00,0.00,-28.62,0,00:00,0.00
102,JUNCTION,0.00,0.00,-25.64,0,00:00,0.00
103,JUNCTION,0.00,0.00,-22.38,0,00:00,0.00
104,JUNCTION,0.00,0.00,-22.37,0,00:00,0.00
105,JUNCTION,0.00,0.00,-20.44,0,00:00,0.00
106,JUNCTION,0.00,0.00,-12.12,0,00:00,0.00
107,JUNCTION,0.00,0.00,-14.89,0,00:00,0.00
108,JUNCTION,0.00,0.00,-6.80,0,00:00,0.00
109,JUNCTION,0.00,0.00,-20.88,0,00:00,0.00
110,JUNCTION,0.00,0.00,-20.91,0,00:00,0.00
111,JUNCTION,0.00,0.00,-20.98,0,00:00,0.00
112,JUNCTION,0.00,0.00,-21.00,0,00:00,0.00
113,JUNCTION,0.00,0.00,-80.80,0,00:00,0.00
114,JUNCTION,0.00,0.00,-83.18,0,00:00,0.00
115,JUNCTION,0.00,0.00,-71.75,0,00:00,0.00
116,JUNCTION,0.00,0.00,-71.87,0,00:00,0.00
117,JUNCTION,0.00,0.00,-98.50,0,00:00,0.00
118,JUNCTION,0.00,0.00,-22.98,0,00:00,0.00
119,JUNCTION,0.00,0.00,-20.15,0,00:00,0.00
120,JUNCTION,0.00,0.00,-17.42,0,00:00,0.00
121,JUNCTION,0.00,0.00,-3.19,0,00:00,0.00
122,JUNCTION,0.00,0.00,-3.43,0,00:00,0.00
123,JUNCTION,0.00,0.00,-10.64,0,00:00,0.00
124,JUNCTION,0.00,0.00,-6.50,0,00:00,0.00
125,JUNCTION,0.00,0.00,-7.20,0,00:00,0.00
126,JUNCTION,0.00,0.00,-19.38,0,00:00,0.00
127,JUNCTION,0.00,0.00,-11.21,0,00:00,0.00
128,JUNCTION,0.00,0.00,-11.70,0,00:00,0.00
129,JUNCTION,0.00,0.00,-14.32,0,00:00,0.00
130,JUNCTION,0.00,0.00,-5.69,0,00:00,0.00
