Node,Type,Average Depth Feet,Maximum Depth Feet,Maximum HGL Feet,Time of Max Occurence days,hr:min, Reported Max Depth Feet
1,JUNCTION,0.00,0.00,10.01,7,14:00,0.00
2,JUNCTION,0.00,0.00,8.99,7,14:00,0.00
3,JUNCTION,11.81,11.81,8.59,7,14:00,11.81
4,JUNCTION,10.15,10.15,8.59,7,14:00,10.15
5,JUNCTION,0.00,0.00,8.59,7,14:00,0.00
6,JUNCTION,4.55,4.63,6.30,7,22:56,4.60
7,JUNCTION,8.48,8.57,6.31,7,22:56,8.54
8,JUNCTION,54.21,54.64,6.65,7,22:43,54.33
9,JUNCTION,54.18,54.63,6.67,7,22:43,54.30
10,JUNCTION,82.09,82.46,6.59,7,22:43,82.27
11,JUNCTION,92.03,92.34,6.53,7,22:44,92.28
12,JUNCTION,24.65,25.04,6.61,7,22:44,24.98
13,JUNCTION,18.02,18.41,6.61,7,22:44,18.34
14,JUNCTION,17.91,18.32,6.63,7,22:44,18.24
15,JUNCTION,30.70,31.07,6.59,7,22:44,30.99
16,JUNCTION,14.14,14.46,6.54,7,22:44,14.41
19,JUNCTION,25.68,25.90,7.10,7,18:50,25.69
20,JUNCTION,30.68,30.86,7.06,7,18:50,30.71
21,JUNCTION,27.88,28.05,7.05,7,18:50,27.93
22,JUNCTION,19.38,19.47,6.97,7,15:17,19.39
23,JUNCTION,12.08,12.12,6.92,7,21:39,12.08
24,JUNCTION,0.38,0.40,6.90,7,21:37,0.38
25,JUNCTION,0.19,0.20,6.50,7,22:26,0.19
26,JUNCTION,17.82,17.90,6.30,7,22:46,17.87
27,JUNCTION,18.12,18.17,6.27,7,22:47,18.14
28,JUNCTION,14.22,14.26,6.26,7,22:47,14.23
29,JUNCTION,14.22,14.26,6.26,7,22:50,14.24
30,JUNCTION,27.92,27.97,6.27,7,22:51,27.94
31,JUNCTION,28.02,28.07,6.27,7,22:51,28.03
32,JUNCTION,53.82,53.92,6.32,7,22:52,53.87
33,JUNCTION,50.72,50.82,6.32,7,23:00,50.77
34,JUNCTION,17.92,18.00,6.30,7,23:00,17.99
35,JUNCTION,0.00,0.00,21.17,0,00:00,0.00
36,JUNCTION,1.58,1.62,6.92,7,22:37,1.59
37,JUNCTION,1.48,1.51,6.91,7,21:52,1.49
38,JUNCTION,19.88,19.91,6.91,7,21:36,19.88
39,JUNCTION,20.18,20.23,6.93,7,22:40,20.20
40,JUNCTION,41.08,41.32,7.12,7,19:22,41.18
41,JUNCTION,41.08,41.32,7.12,7,19:22,41.19
42,JUNCTION,68.38,68.71,7.21,7,19:22,68.49
43,JUNCTION,71.78,71.91,7.01,7,21:30,71.86
44,JUNCTION,33.08,33.17,6.97,7,22:45,33.16
45,JUNCTION,33.08,33.17,6.97,7,22:45,33.16
46,JUNCTION,23.28,23.53,7.13,7,21:30,23.37
47,JUNCTION,23.38,23.74,7.24,7,21:30,23.47
48,JUNCTION,34.68,35.06,7.26,7,21:30,34.77
49,JUNCTION,21.18,21.54,7.24,7,21:30,21.28
50,JUNCTION,21.18,21.52,7.22,7,21:30,21.29
51,JUNCTION,17.38,17.53,7.03,7,21:30,17.50
52,JUNCTION,3.88,4.00,7.00,7,23:00,3.99
53,JUNCTION,27.18,27.28,5.18,7,22:43,27.22
54,JUNCTION,5.98,6.00,5.10,7,22:45,5.99
55,JUNCTION,5.08,5.10,5.10,7,22:53,5.09
56,JUNCTION,18.78,18.94,5.24,7,22:43,18.81
57,JUNCTION,18.28,18.44,5.24,7,22:43,18.30
58,JUNCTION,25.58,25.92,5.42,7,17:58,25.64
59,JUNCTION,25.68,26.03,5.43,7,17:58,25.75
60,JUNCTION,0.00,0.00,7.19,7,14:00,0.00
61,JUNCTION,0.00,0.00,12.80,0,00:00,0.00
62,JUNCTION,0.00,0.00,15.00,0,00:00,0.00
63,JUNCTION,0.00,0.00,22.00,0,00:00,0.00
64,JUNCTION,0.00,0.00,18.00,0,00:00,0.00
65,JUNCTION,0.00,0.00,11.00,0,00:00,0.00
66,JUNCTION,9.22,9.27,6.27,7,22:49,9.24
67,JUNCTION,11.92,11.96,6.26,7,22:50,11.94
70,JUNCTION,32.22,32.28,6.28,7,22:51,32.24
71,JUNCTION,17.41,17.47,6.28,7,22:51,17.43
72,JUNCTION,21.38,21.60,5.30,7,22:43,21.38
73,JUNCTION,22.08,22.36,5.36,7,22:43,22.23
74,JUNCTION,10.08,10.12,5.12,7,22:43,10.08
75,JUNCTION,16.98,17.02,5.12,7,22:45,16.99
76,JUNCTION,8.08,8.11,5.11,7,22:49,8.09
77,JUNCTION,11.33,11.35,5.10,7,22:45,11.34
78,JUNCTION,24.79,25.14,5.44,7,22:43,24.81
79,JUNCTION,24.77,25.13,5.43,7,22:43,24.80
80,JUNCTION,17.68,17.76,5.16,7,22:44,17.71
81,JUNCTION,17.68,17.77,5.17,7,22:44,17.70
82,JUNCTION,10.08,10.11,5.11,7,22:49,10.10
83,JUNCTION,22.98,23.22,7.12,7,21:30,23.11
84,JUNCTION,22.98,23.21,7.11,7,21:30,23.10
85,JUNCTION,50.58,50.74,7.04,7,21:30,50.68
86,JUNCTION,58.18,58.27,6.97,7,18:00,58.24
87,JUNCTION,46.88,46.93,6.93,7,21:34,46.90
88,JUNCTION,43.88,43.93,6.93,7,21:34,43.91
89,JUNCTION,43.88,43.97,6.97,7,17:58,43.93
90,JUNCTION,29.88,29.97,6.97,7,21:32,29.92
91,JUNCTION,11.68,11.73,6.93,7,22:53,11.72
92,JUNCTION,7.68,7.74,6.94,7,22:53,7.73
18,JUNCTION,21.38,21.48,5.18,7,22:43,21.41
100,JUNCTION,33.70,33.78,5.16,7,22:43,33.73
102,JUNCTION,25.08,25.72,0.08,7,19:27,25.43
103,JUNCTION,21.82,22.44,0.06,7,19:27,22.17
104,JUNCTION,21.81,22.31,-0.06,7,19:27,22.12
105,JUNCTION,19.88,20.29,-0.15,7,23:13,20.15
106,JUNCTION,11.56,12.26,0.14,7,19:25,11.86
107,JUNCTION,14.33,15.17,0.28,7,19:29,15.16
108,JUNCTION,6.24,6.92,0.12,7,19:23,6.55
109,JUNCTION,20.33,41.00,20.12,7,15:18,20.69
110,JUNCTION,20.35,23.87,2.96,7,19:22,20.98
111,JUNCTION,20.41,23.96,2.98,7,15:17,20.84
112,JUNCTION,20.42,38.68,17.68,7,15:18,21.04
113,JUNCTION,80.22,93.71,12.91,7,22:43,80.81
114,JUNCTION,82.60,101.92,18.74,7,22:43,83.15
115,JUNCTION,71.17,92.00,20.25,7,22:43,71.70
116,JUNCTION,71.29,92.00,20.13,7,22:43,71.81
117,JUNCTION,97.93,111.27,12.77,7,22:43,98.39
118,JUNCTION,22.42,24.30,1.32,7,22:43,22.78
119,JUNCTION,19.59,20.02,-0.13,7,22:45,19.94
120,JUNCTION,16.86,17.30,-0.12,7,23:04,17.28
121,JUNCTION,2.63,3.15,-0.04,7,22:46,3.04
122,JUNCTION,2.87,3.41,-0.02,7,22:47,3.13
123,JUNCTION,10.08,10.41,-0.23,7,20:19,10.35
124,JUNCTION,5.94,6.22,-0.28,7,22:52,6.18
125,JUNCTION,6.64,6.96,-0.24,7,19:40,6.86
126,JUNCTION,18.82,19.21,-0.17,7,22:56,19.13
127,JUNCTION,10.65,11.07,-0.14,7,22:56,10.98
128,JUNCTION,11.14,11.56,-0.14,7,22:56,11.48
129,JUNCTION,13.76,14.20,-0.12,7,22:56,14.10
130,JUNCTION,5.13,5.56,-0.13,7,22:56,5.48
131,JUNCTION,0.00,0.00,31.65,0,00:00,0.00
132,JUNCTION,0.00,0.00,31.36,0,00:00,0.00
133,JUNCTION,0.00,0.00,40.24,0,00:00,0.00
134,JUNCTION,0.00,0.00,44.72,0,00:00,0.00
135,JUNCTION,0.00,0.00,44.62,0,00:00,0.00
136,JUNCTION,0.00,0.00,44.35,0,00:00,0.00
137,JUNCTION,0.00,0.00,34.51,0,00:00,0.00
138,JUNCTION,0.00,0.00,52.23,0,00:00,0.00
139,JUNCTION,0.00,0.00,49.93,0,00:00,0.00
140,JUNCTION,0.00,0.00,45.20,0,00:00,0.00
141,JUNCTION,0.00,0.00,49.13,0,00:00,0.00
142,JUNCTION,0.00,0.00,40.05,0,00:00,0.00
143,JUNCTION,0.00,0.00,39.90,0,00:00,0.00
148,JUNCTION,31.34,31.56,5.30,7,22:43,31.42
68,OUTFALL,0.00,0.00,6.50,0,00:00,0.00
69,OUTFALL,0.08,0.17,5.17,7,22:43,0.13
93,OUTFALL,0.00,0.00,13.89,0,00:00,0.00
94,OUTFALL,0.00,0.00,10.51,0,00:00,0.00
95,OUTFALL,0.08,0.08,12.78,8,00:00,0.08
96,OUTFALL,0.00,0.00,31.60,0,00:00,0.00
97,OUTFALL,0.00,0.00,17.55,0,00:00,0.00
98,OUTFALL,0.00,0.00,11.00,0,00:00,0.00
99,OUTFALL,0.12,0.40,6.50,7,22:44,0.32
101,OUTFALL,0.07,0.07,11.96,8,00:00,0.07
144,OUTFALL,0.00,0.00,32.22,0,00:00,0.00
145,OUTFALL,0.00,0.00,8.00,0,00:00,0.00
146,OUTFALL,0.00,0.00,39.90,0,00:00,0.00
147,OUTFALL,0.00,0.00,15.00,0,00:00,0.00
